date,account,category,amount,currency,converted amount,currency,description
08/11/2023,Bank account,Food,-20,INR,-20,INR,Samosa+vada
08/11/2023,Bank account,Food,-15,INR,-15,INR,Pineapple lime
08/11/2023,Bank account,Food,-70,INR,-70,INR,Breakfast 
08/11/2023,Bank account,Food,-100,INR,-100,INR,Tawa+chapati
08/11/2023,Bank account,Groceries,-22,INR,-22,INR,Milk
09/11/2023,Bank account,Food,-50,INR,-50,INR,Puttu+kadala
09/11/2023,Bank account,Food,-10,INR,-10,INR,Tea
09/11/2023,Bank account,Food,-110,INR,-110,INR,Tandoori 
09/11/2023,Bank account,Groceries,-80,INR,-80,INR,Marconi 
09/11/2023,Bank account,Eggs,-60,INR,-60,INR,Eggs 
09/11/2023,Bank account,Groceries,-12,INR,-12,INR,Banana 
09/11/2023,Bank account,Sports,-76,INR,-76,INR,Football 
09/11/2023,Bank account,Food,-30,INR,-30,INR,Chapati
10/11/2023,Bank account,Groceries,-10,INR,-10,INR,Beans
10/11/2023,Bank account,Groceries,-199,INR,-199,INR,Chicken
10/11/2023,Bank account,Groceries,-25,INR,-25,INR,Ginger garlic paste
10/11/2023,Bank account,Groceries,-25,INR,-25,INR,Maida
10/11/2023,Bank account,Groceries,-28,INR,-28,INR,Banana
10/11/2023,Bank account,Groceries,-22,INR,-22,INR,Milk
10/11/2023,Bank account,House,-20,INR,-20,INR,Washing liquid
10/11/2023,Bank account,Health,"-1,799",INR,"-1,799",INR,Optimum Nutrition whey protein 
10/11/2023,Bank account,Groceries,-22,INR,-22,INR,Milk 
11/11/2023,Bank account,Health,-254,INR,-254,INR,Omega 3 healthkart
11/11/2023,Bank account,Groceries,-20,INR,-20,INR,Rice
11/11/2023,Bank account,Food,-40,INR,-40,INR,Dosa
11/11/2023,Bank account,Food,-30,INR,-30,INR,Yoghurt 
11/11/2023,Bank account,Eggs,-42,INR,-42,INR,Eggs
12/11/2023,Bank account,Sports,-100,INR,-100,INR,Football 
12/11/2023,Bank account,Food,-40,INR,-40,INR,Vada
12/11/2023,Bank account,Food,-35,INR,-35,INR,Sandwich
12/11/2023,Bank account,Entertainment,-150,INR,-150,INR,Dean whi
12/11/2023,Bank account,Food,-100,INR,-100,INR,Chicken combo
12/11/2023,Bank account,Entertainment,-223,INR,-223,INR,Joel cinammon
13/11/2023,Bank account,Food,-120,INR,-120,INR,Biriyani 
14/11/2023,Bank account,Food,-60,INR,-60,INR,Vada
14/11/2023,Bank account,Sourav ,-30,INR,-30,INR,Shift
14/11/2023,Bank account,College works,-26,INR,-26,INR,Arduino printout 
14/11/2023,Bank account,Sourav ,-20,INR,-20,INR,Tea+indiemint
14/11/2023,Bank account,Food,-140,INR,-140,INR,Chicken biriyani 
14/11/2023,Bank account,Food,-28,INR,-28,INR,Maggi 
14/11/2023,Bank account,Eggs,-78,INR,-78,INR,Eggs
14/11/2023,Bank account,College works,-30,INR,-30,INR,Spiral binding 
15/11/2023,Bank account,Food,-10,INR,-10,INR,Banana
15/11/2023,Bank account,Groceries,-20,INR,-20,INR,Milk
15/11/2023,Bank account,Food,-120,INR,-120,INR,Chicken rice
15/11/2023,Bank account,Sourav,20,INR,20,INR,
16/11/2023,Bank account,Transport,-29,INR,-29,INR,Rapido 
16/11/2023,Bank account,Transport,-10,INR,-10,INR,Auto
16/11/2023,Bank account,Transport,-380,INR,-380,INR,Train ticket to kannur 
16/11/2023,Bank account,House,-119,INR,-119,INR,Waterbill
16/11/2023,Bank account,Eggs,-21,INR,-21,INR,Eggs 
17/11/2023,Bank account,Groceries,-25,INR,-25,INR,Curd
17/11/2023,Bank account,Groceries,-20,INR,-20,INR,Milk
17/11/2023,Bank account,Groceries,-200,INR,-200,INR,Chicken breast boneless
17/11/2023,Bank account,Groceries,-51,INR,-51,INR,Grapes 
17/11/2023,Bank account,Toiletry,-50,INR,-50,INR,Loofah
17/11/2023,Bank account,House,-28,INR,-28,INR,Kitchen scrub 
17/11/2023,Bank account,Groceries,-27,INR,-27,INR,Banana
17/11/2023,Bank account,Groceries,-20,INR,-20,INR,Milk
17/11/2023,Bank account,Eggs,-56,INR,-56,INR,Eggs 
17/11/2023,Bank account,Food,-10,INR,-10,INR,Peanuts
17/11/2023,Bank account,Transport,-10,INR,-10,INR,Auto
17/11/2023,Bank account,Groceries,-65,INR,-65,INR,Chapati packet
17/11/2023,Bank account,Groceries,-40,INR,-40,INR,Tomato+cashew+coriander leaves
18/11/2023,Bank account,Bills,-300,INR,-300,INR,Police fine
18/11/2023,Bank account,Groceries,-15,INR,-15,INR,Banana
18/11/2023,Bank account,Food,-90,INR,-90,INR,Meals
19/11/2023,Bank account,Groceries,-23,INR,-23,INR,Curd
19/11/2023,Bank account,Groceries,-71,INR,-71,INR,Oats
19/11/2023,Bank account,Groceries,-35,INR,-35,INR,Grapes
19/11/2023,Bank account,Food,-49,INR,-49,INR,Peanuts 
19/11/2023,Bank account,Groceries,-23,INR,-23,INR,Bread
19/11/2023,Bank account,Groceries,-40,INR,-40,INR,Milk
19/11/2023,Bank account,Groceries,-180,INR,-180,INR,Chicken breast boneless
19/11/2023,Bank account,Eating out,-96,INR,-96,INR,soup amma
19/11/2023,Bank account,Food,-80,INR,-80,INR,Beef tawa
20/11/2023,Bank account,Groceries,-6,INR,-6,INR,Banana 
20/11/2023,Bank account,Groceries,-6,INR,-6,INR,Banana
20/11/2023,Bank account,Food,-120,INR,-120,INR,Chicken rice
20/11/2023,Bank account,Eggs,-56,INR,-56,INR,Eggs
20/11/2023,Bank account,Groceries,-161,INR,-161,INR,Peanut butter 
20/11/2023,Bank account,Groceries,-40,INR,-40,INR,Milk
20/11/2023,Bank account,Groceries,-28,INR,-28,INR,Maggi
21/11/2023,Bank account,Food,-120,INR,-120,INR,Chicken rice
21/11/2023,Bank account,Toiletry,-225,INR,-225,INR,Facewash 
21/11/2023,Bank account,Groceries,-25,INR,-25,INR,Curd
21/11/2023,Bank account,Groceries,-70,INR,-70,INR,Chapati
21/11/2023,Bank account,Groceries,-40,INR,-40,INR,Milk
22/11/2023,Bank account,Food,-110,INR,-110,INR,Beef rice
22/11/2023,Bank account,Petrol,-25,INR,-25,INR,Petrol
23/11/2023,Bank account,Food,-110,INR,-110,INR,Blends biriyani 
24/11/2023,Bank account,Groceries,-55,INR,-55,INR,Yoghurt
24/11/2023,Bank account,Food,-20,INR,-20,INR,Sting
24/11/2023,Bank account,Groceries,-28,INR,-28,INR,Banana 
24/11/2023,Bank account,Food,-20,INR,-20,INR,Lays 
24/11/2023,Bank account,Groceries,-22,INR,-22,INR,Milk
24/11/2023,Bank account,Transport,-15,INR,-15,INR,Zepto delivery 
24/11/2023,Bank account,Food,-20,INR,-20,INR,Coffee+vada
24/11/2023,Bank account,Food,-40,INR,-40,INR,Bread omlet
24/11/2023,Bank account,Food,-160,INR,-160,INR,Chicken Mandhi
24/11/2023,Bank account,Food,-10,INR,-10,INR,Coffee 
25/11/2023,Bank account,Food,-80,INR,-80,INR,Meals
25/11/2023,Bank account,Food,-40,INR,-40,INR,Bread omlet
25/11/2023,Bank account,Food,-10,INR,-10,INR,Coffee
25/11/2023,Bank account,Food,-85,INR,-85,INR,Butter chicken 
26/11/2023,Bank account,Gifts,-200,INR,-200,INR,Rishi dress
26/11/2023,Bank account,Food,-120,INR,-120,INR,Chicken rice
26/11/2023,Bank account,Food,-40,INR,-40,INR,Kal nice 
27/11/2023,Bank account,House,"-1,750",INR,"-1,750",INR,Current bill
27/11/2023,Bank account,Petrol,-35,INR,-35,INR,Petrol
27/11/2023,Bank account,Food,-80,INR,-80,INR,Meals
27/11/2023,Bank account,Petrol,-35,INR,-35,INR,Petrol
28/11/2023,Bank account,Groceries,-22,INR,-22,INR,Milk
28/11/2023,Bank account,Groceries,-28,INR,-28,INR,Banana 
28/11/2023,Bank account,Groceries,-28,INR,-28,INR,Maggi
28/11/2023,Bank account,Transport,-8,INR,-8,INR,Delivery charge
28/11/2023,Bank account,Petrol,-35,INR,-35,INR,Petrol 
28/11/2023,Bank account,Food,-115,INR,-115,INR,Biriyani
28/11/2023,Bank account,Sourav ,-20,INR,-20,INR,Sourav
28/11/2023,Bank account,Food,-110,INR,-110,INR,Beef rice + chapati
29/11/2023,Bank account,Food,-20,INR,-20,INR,Sting 
